Received	Last location	Reason	Speed (kph)	Mileage (km)	Heading	GPS	Installed	Button	Door	Main power	Light	Temperature	Address	Longitude	Latitude	Altitude (m)	Name
8/20/2017 2:29	8/20/2017 2:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	50.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	10	591016
8/20/2017 2:31	8/20/2017 2:31	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	50.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	21	591016
8/20/2017 2:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	_	591016
8/20/2017 2:44	8/20/2017 2:31	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	49.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	21	591016
8/20/2017 2:51	8/20/2017 2:51	Tracking	0	0	0	7 / On / Valid	Off	Off	Opened	34% / 3.77v	_	49.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	11	591016
8/20/2017 2:52	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 2:59	8/20/2017 2:51	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	49.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	11	591016
8/20/2017 3:11	8/20/2017 3:11	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	48.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	23	591016
8/20/2017 3:12	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 3:14	8/20/2017 3:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	49.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	23	591016
8/20/2017 3:29	8/20/2017 3:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	47.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	23	591016
8/20/2017 3:31	8/20/2017 3:31	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	47.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	12	591016
8/20/2017 3:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 3:44	8/20/2017 3:31	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	47.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	12	591016
8/20/2017 3:51	8/20/2017 3:51	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	46.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	10	591016
8/20/2017 3:52	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 3:59	8/20/2017 3:51	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	46.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	10	591016
8/20/2017 4:11	8/20/2017 4:11	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	45.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	9	591016
8/20/2017 4:12	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	_	591016
8/20/2017 4:14	8/20/2017 4:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	46.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	9	591016
8/20/2017 4:29	8/20/2017 4:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	44.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.1369	26.0914	9	591016
8/20/2017 4:31	8/20/2017 4:31	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	44.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	6	591016
8/20/2017 4:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 4:44	8/20/2017 4:31	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	44.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	6	591016
8/20/2017 4:51	8/20/2017 4:51	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	43.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	2	591016
8/20/2017 4:52	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 4:59	8/20/2017 4:51	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	43.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	2	591016
8/20/2017 5:11	8/20/2017 5:11	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	42.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	3	591016
8/20/2017 5:12	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	_	591016
8/20/2017 5:14	8/20/2017 5:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	43.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	3	591016
8/20/2017 5:29	8/20/2017 5:11	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	41.0c	"FL, Fort Lauderdale, SE 25th St (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0915	3	591016
8/20/2017 5:31	8/20/2017 5:31	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	41.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 5:32	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 5:44	8/20/2017 5:31	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	41.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 5:51	8/20/2017 5:51	Tracking	0	0	0	7 / Off / Invalid	Off	Off	Opened	34% / 3.77v	_	40.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	4	591016
8/20/2017 5:52	_	Ping	_	_	_	_	_	_	_	_	_	_	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	_	591016
8/20/2017 5:59	8/20/2017 5:51	Logging	0	0	0	7 / Off / Invalid	Off	Off	Opened	32% / 3.76v	_	40.0c	"FL, Fort Lauderdale, State Hwy 5 (Customer Daimler Passengers: Mercedes-Benz of Ft. Lauderdale (USA))"	-80.137	26.0914	4	591016
